Date,Open,High,Low,Close,Adjusted_close,Volume
1966-07-05,10.9176,11.0872,10.836,10.9176,0.1334,388800
1966-07-06,11.5024,11.5024,10.836,11.5024,0.1406,692550
1966-07-07,11.0872,11.7936,11.0008,11.0872,0.1355,1858950
1966-07-08,11.2096,11.2096,10.836,11.2096,0.137,1239300
1966-07-11,11.1672,11.5024,11.0416,11.1672,0.1365,656100
1966-07-12,11.0008,11.0872,10.9608,11.0008,0.1345,303750
1966-07-13,10.9608,11.128,10.9176,10.9608,0.134,291600
1966-07-14,10.836,11.0008,10.836,10.836,0.1324,328050
1966-07-15,10.6696,10.876,10.6696,10.6696,0.1304,376650
1966-07-18,10.6696,11.0008,10.584,10.6696,0.1304,607500
1966-07-19,10.504,10.6696,10.504,10.504,0.1284,413100
1966-07-20,10.4176,10.6264,10.3344,10.4176,0.1273,230850
1966-07-21,10.1256,10.504,10.1256,10.1256,0.1238,230850
1966-07-22,10.1256,10.1664,10.0008,10.1256,0.1238,303750
1966-07-25,9.6288,10.1256,9.6288,9.6288,0.1177,510300
1966-07-26,9.5032,9.7944,9.5032,9.5032,0.1161,328050
1966-07-27,9.6288,9.7096,9.5424,9.6288,0.1177,157950
1966-07-28,9.7512,9.7512,9.5832,9.7512,0.1192,97200
1966-07-29,9.8344,9.8344,9.6696,9.8344,0.1202,157950
1966-08-01,9.5424,9.7512,9.5424,9.5424,0.1166,182250
1966-08-02,9.5832,9.6696,9.5032,9.5832,0.1171,85050
1966-08-03,9.4176,9.6696,9.4176,9.4176,0.1151,267300
1966-08-04,9.5424,9.5832,9.46,9.5424,0.1166,60750
1966-08-05,9.9208,10.0008,9.6696,9.9208,0.1212,157950
1966-08-08,9.7944,9.7944,9.7096,9.7944,0.1197,48600
1966-08-09,9.8344,9.9208,9.7096,9.8344,0.1202,133650
1966-08-10,9.8344,9.9208,9.7512,9.8344,0.1202,170100
1966-08-11,9.7512,9.8344,9.7096,9.7512,0.1192,133650
1966-08-12,9.6288,9.7512,9.6288,9.6288,0.1177,206550
1966-08-15,9.7512,9.8344,9.6696,9.7512,0.1192,741150
1966-08-16,9.5032,9.8344,9.5032,9.5032,0.1161,668250
1966-08-17,9.0864,9.5424,8.7952,9.0864,0.111,473850
1966-08-18,8.8768,9.0456,8.8768,8.8768,0.1085,109350
1966-08-19,8.4168,8.92,8.3368,8.4168,0.1029,315900
1966-08-22,8.1256,8.5432,8.0016,8.1256,0.0993,680400
1966-08-23,8.2512,8.2936,8.0448,8.2512,0.1008,291600
1966-08-24,8.212,8.2936,8.0448,8.212,0.1004,243000
1966-08-25,8.2512,8.4568,8.2512,8.2512,0.1008,279450
1966-08-26,8.0448,8.2936,8.0016,8.0448,0.0983,413100
1966-08-29,7.1704,7.7536,7.1704,7.1704,0.0876,400950
1966-08-30,7.4616,7.668,6.9592,7.4616,0.0912,789750
1966-08-31,7.8336,8.0848,7.5816,7.8336,0.0957,595350
1966-09-01,7.92,7.92,7.668,7.92,0.0968,303750
1966-09-02,7.8336,7.8736,7.7536,7.8336,0.0957,133650
1966-09-06,7.7536,7.92,7.7536,7.7536,0.0948,157950
